Title;Issn;SJR Best Quartile;Categories
Pakistan Journal of Scientific and Industrial Research Series A: Physical Sciences;22216413, 22232559;Q4;"Materials Science (miscellaneous) (Q4); Mathematical Physics (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)"
Political Economy of Communication;23571705;Q4;"Communication (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
Praktyka Teoretyczna;20818130;Q2;"History (Q2); Literature and Literary Theory (Q2); Anthropology (Q3); Cultural Studies (Q3); Philosophy (Q3); Sociology and Political Science (Q4)"
Praxis der Kinderpsychologie und Kinderpsychiatrie;00327034;Q4;"Developmental and Educational Psychology (Q4); Psychiatry and Mental Health (Q4)"
Proceedings - IEEE International Symposium on Rapid System Prototyping, RSP;21505519, 21505500;-;"Computer Networks and Communications; Control and Systems Engineering; Hardware and Architecture; Signal Processing; Software"
Proceedings of the International Conference on Anti-Counterfeiting, Security and Identification, ASID;21635048, 21635056;-;"Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition; Software"
Record and Library Journal;24425168;Q4;"Human Factors and Ergonomics (Q4); Library and Information Sciences (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4)"
Revista de Gastroenterologia del Peru;1609722X, 10225129;Q4;Gastroenterology (Q4)
Revue Romane;00353906;Q2;"Literature and Literary Theory (Q2); Linguistics and Language (Q3)"
Semitica et Classica;22959041, 20315937;Q2;"History (Q2); Literature and Literary Theory (Q2); Religious Studies (Q2); Archeology (arts and humanities) (Q3)"
Studies in Theatre and Performance;20400616, 14682761;Q2;Visual Arts and Performing Arts (Q2)
Symposium on Lift and Escalator Technologies;20527233, 20527225;-;"Building and Construction; Civil and Structural Engineering; Control and Systems Engineering; Fuel Technology; Geochemistry and Petrology; Geotechnical Engineering and Engineering Geology"
T'oung Pao;15685322, 00825433;Q2;"History (Q2); Literature and Literary Theory (Q2); Cultural Studies (Q3); History and Philosophy of Science (Q3); Linguistics and Language (Q3)"
Trends in Immunotherapy;25735985;Q4;"Immunology (Q4); Immunology and Allergy (Q4); Oncology (Q4); Pharmacology (medical) (Q4)"
Turkish Computational and Theoretical Chemistry;26023237, 25871722;Q4;"Biochemistry (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Computer Science Applications (Q4); Materials Chemistry (Q4); Molecular Medicine (Q4); Physical and Theoretical Chemistry (Q4)"
Ukrainian Journal of Nephrology and Dialysis;26167352, 23040238;Q4;"Biochemistry (medical) (Q4); Immunology and Allergy (Q4); Nephrology (Q4); Urology (Q4)"
VacciMonitor;10250298, 1025028X;Q4;"Drug Discovery (Q4); Immunology (Q4); Immunology and Allergy (Q4); Molecular Medicine (Q4)"
Wulfenia;1561882X;Q4;"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
Zhongguo Ertong Baojian Zazhi;10086579;Q4;Pediatrics, Perinatology and Child Health (Q4)
Acta Medica Peruana;10188800, 17285917;Q4;Medicine (miscellaneous) (Q4)
African Economic History;01452258;Q2;"History (Q2); Economics and Econometrics (Q4)"
Agrarforschung Schweiz;16637909, 16637852;Q4;"Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Food Science (Q4); Horticulture (Q4); Pollution (Q4)"
American Journal of Biochemistry and Biotechnology;15533468, 15586332;Q4;"Biochemistry (Q4); Biotechnology (Q4)"
ANAE - Approche Neuropsychologique des Apprentissages chez l'Enfant;0999792X;Q4;"Developmental and Educational Psychology (Q4); Neuropsychology and Physiological Psychology (Q4)"
Applied Chemistry for Engineering;12250112, 22884505;Q4;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4)"
Architektura a Urbanizmus;00448680;Q3;"Architecture (Q3); Conservation (Q3); Urban Studies (Q4)"
Archivos de Zootecnia;18854494, 00040592;Q4;Animal Science and Zoology (Q4)
ASHRAE Transactions;00012505;-;"Building and Construction; Mechanical Engineering"
Biomedical and Biopharmaceutical Research;21822379, 21822360;Q3;"Pharmacy (Q3); Food Science (Q4); Pharmacology (medical) (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)"
BPA Applied Psychology Bulletin;00066761;Q4;Applied Psychology (Q4)
Brazilian Journal of Veterinary Pathology;19830246;Q4;Veterinary (miscellaneous) (Q4)
British Catholic History;20557973, 20557981;Q2;"History (Q2); Religious Studies (Q2)"
Canadian Journal of Film Studies;08475911;Q2;Visual Arts and Performing Arts (Q2)
China Brewing;02545071;Q4;"Applied Microbiology and Biotechnology (Q4); Molecular Biology (Q4)"
Chinese Journal on Internet of Things;20963750;Q4;"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Information Systems (Q4)"
Classical Journal;00098353;Q2;Classics (Q2)
Coloproctology;16156730, 01742442;Q4;"Gastroenterology (Q4); Surgery (Q4)"
Concepts in Magnetic Resonance Part A: Bridging Education and Research;15466086, 15525023;Q4;Spectroscopy (Q4)
Cuadernos de bioética : revista oficial de la Asociación Española de Bioética y Ética Médica;11321989;Q4;Medicine (miscellaneous) (Q4)
Cuadernos de Investigacion Filologica;02110547, 1699292X;Q2;"Literature and Literary Theory (Q2); Linguistics and Language (Q3)"
Dental Update;03055000;Q4;Dentistry (miscellaneous) (Q4)
Duzce Medical Journal;1307671X;Q4;Medicine (miscellaneous) (Q4)
Economia y Politica;07194714, 07194803;Q3;"Cultural Studies (Q3); Economics and Econometrics (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
Educacion y Humanismo;26652420, 01242121;Q3;"Cultural Studies (Q3); History and Philosophy of Science (Q3); Education (Q4); Gender Studies (Q4)"
Ekonomika APK;24132322, 22211055;Q4;Economics, Econometrics and Finance (miscellaneous) (Q4)
Engineering Project Organization Journal;21573727, 21573735;Q4;"Building and Construction (Q4); Engineering (miscellaneous) (Q4); Information Systems and Management (Q4); Strategy and Management (Q4)"
ESARDA Bulletin;03923029, 19775296;Q4;"Applied Mathematics (Q4); Nuclear and High Energy Physics (Q4); Nuclear Energy and Engineering (Q4); Safety, Risk, Reliability and Quality (Q4)"
Fabula;00146242, 16130464;Q2;"Literature and Literary Theory (Q2); Cultural Studies (Q3)"
Fenmo Yejin Cailiao Kexue yu Gongcheng/Materials Science and Engineering of Powder Metallurgy;16730224;Q4;Metals and Alloys (Q4)
Filozofija i Drustvo;03535738, 23348577;Q3;"Philosophy (Q3); Sociology and Political Science (Q4)"
Finance India;09703772;Q4;"Accounting (Q4); Finance (Q4)"
Formosan Journal of Surgery;1682606X, 22135413;Q4;Surgery (Q4)
Gedragstherapie: Tijdschrift voor Gedragstherapie en Cognitieve Therapie;2468953X, 01677454;Q4;"Clinical Psychology (Q4); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4); Psychology (miscellaneous) (Q4)"
Gongneng Cailiao/Journal of Functional Materials;10019731;Q4;"Condensed Matter Physics (Q4); Electrical and Electronic Engineering (Q4); Electronic, Optical and Magnetic Materials (Q4); Materials Chemistry (Q4)"
IEEE Electrical Design of Advanced Packaging and Systems Symposium;21511225, 21511233;-;"Automotive Engineering; Computer Science (miscellaneous); Control and Systems Engineering; Electrical and Electronic Engineering"
International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM;2325419X, 23254173;-;"Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering"
International Transfer Pricing Journal;23529172, 13853074;Q3;"Law (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4)"
Istanbuler Mitteilungen;03419142;Q3;"Archeology (Q3); Archeology (arts and humanities) (Q3)"
ITE Transactions on Media Technology and Applications;21867364;Q3;"Media Technology (Q3); Computer Graphics and Computer-Aided Design (Q4); Signal Processing (Q4)"
Jindal Global Law Review;09752498, 23644869;Q3;"Law (Q3); Sociology and Political Science (Q4)"
Journal for Geometry and Graphics;14338157;Q4;"Applied Mathematics (Q4); Applied Psychology (Q4); Geometry and Topology (Q4)"
Journal of Architectural and Planning Research;07380895;Q3;"Architecture (Q3); Environmental Science (miscellaneous) (Q4); Geography, Planning and Development (Q4); Urban Studies (Q4)"
Journal of Cold War Studies;15313298, 15203972;Q2;"History (Q2); Political Science and International Relations (Q4)"
Journal of Cultural Marketing Strategy;20568002, 20568010;Q4;"Management Information Systems (Q4); Marketing (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)"
Journal of Education in Muslim Societies;26410044, 26410052;Q3;"Cultural Studies (Q3); Education (Q4)"
Journal of Engineering Sciences;23568550, 16870530;Q4;"Civil and Structural Engineering (Q4); Electrical and Electronic Engineering (Q4); Mechanical Engineering (Q4); Metals and Alloys (Q4)"
Journal of Iberian and Latin American Research;21519668, 13260219;Q2;"Literature and Literary Theory (Q2); Cultural Studies (Q3); Sociology and Political Science (Q4)"
Journal of Mazandaran University of Medical Sciences;17359260, 17359279;Q4;Medicine (miscellaneous) (Q4)
Journal of Pediatric Infectious Diseases;13057707, 18710336;Q4;"Infectious Diseases (Q4); Pediatrics, Perinatology and Child Health (Q4)"
Journal of Studies in the English Language;2672989X;Q2;"Literature and Literary Theory (Q2); Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Linguistics and Language (Q3)"
Journal of the Korean Chemical Society;10172548;Q4;"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4)"
Klio;21927669, 00756334;Q2;"Classics (Q2); History (Q2)"
Know;2473599X, 24736007;Q4;Multidisciplinary (Q4)
Laeknabladid;16704959, 00237213;Q4;Medicine (miscellaneous) (Q4)
Liquid Crystals Today;14645181, 1358314X;Q4;"Condensed Matter Physics (Q4); Inorganic Chemistry (Q4); Materials Chemistry (Q4)"
Magyar Nyelv;15881210, 00250228;Q3;Linguistics and Language (Q3)
Management and Prospective;22653937, 29838304;Q4;Business, Management and Accounting (miscellaneous) (Q4)
Medicina Fluminensis;18476864;Q4;Medicine (miscellaneous) (Q4)
MolBank;14228599;Q4;"Biochemistry (Q4); Organic Chemistry (Q4); Physical and Theoretical Chemistry (Q4)"
Nervno-Myshechnye Bolezni;24130443, 22228721;Q4;"Neurology (Q4); Neurology (clinical) (Q4)"
Opuholi Golovy i Sei;22221468, 24114634;Q4;"Cancer Research (Q4); Oncology (Q4); Otorhinolaryngology (Q4); Pharmacology (medical) (Q4); Radiology, Nuclear Medicine and Imaging (Q4); Surgery (Q4)"
Peremennye Zvezdy;22210474;Q4;Astronomy and Astrophysics (Q4)
Politicka Misao;18468721, 00323241;Q2;"History (Q2); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
Proceedings - International Conference of the Chilean Computer Science Society, SCCC;15224902;-;"Computer Science (miscellaneous); Engineering (miscellaneous)"
Proceedings of the International Conference on Simulation and Modeling Methodologies, Technologies and Applications;21842841;-;"Computational Theory and Mathematics; Computer Science Applications; Modeling and Simulation; Safety, Risk, Reliability and Quality"
Quaderns de Filosofia;23411414, 23413042;Q3;Philosophy (Q3)
Review of Applied Socio-Economic Research;22476172;Q4;"Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Social Sciences (miscellaneous) (Q4)"
Revista Cubana de Fisica;02539268;Q4;Physics and Astronomy (miscellaneous) (Q4)
Revista Espanola de Drogodependencias;02137615;Q4;Psychiatry and Mental Health (Q4)
Revista Internacional de Acupuntura;18878369, 19886705;Q4;Complementary and Alternative Medicine (Q4)
Rocznik Teologiczny;02392550;Q2;"History (Q2); Religious Studies (Q2); Linguistics and Language (Q3); Philosophy (Q3)"
Russian Journal of Stomatology;23095156, 20726406;Q3;"Orthodontics (Q3); Dentistry (miscellaneous) (Q4); Medicine (miscellaneous) (Q4); Oral Surgery (Q4)"
Shakespeare Bulletin;07482558, 19311427;Q2;"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2)"
Sobre Practicas Artisticas y Politicas de la Edicion;23871733, 24443484;Q2;"Visual Arts and Performing Arts (Q2); Arts and Humanities (miscellaneous) (Q3); Communication (Q4)"
Social and Legal Studios;26174170, 26174162;Q3;"Law (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Social Psychology (Q4)"
Sojourn;17932858, 02179520;Q3;"Anthropology (Q3); Sociology and Political Science (Q4)"
Sri Lanka Journal of Child Health;2386110X, 13915452;Q4;Pediatrics, Perinatology and Child Health (Q4)
Studi Culturali;1824369X, 26120917;Q3;"Arts and Humanities (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q4)"
Studies in Applied Electromagnetics and Mechanics;13837281, 18798322;Q4;"Electrical and Electronic Engineering (Q4); Mechanical Engineering (Q4)"
Turkish Journal of Nephrology;26674440;Q4;"Nephrology (Q4); Surgery (Q4); Transplantation (Q4)"
Vakcinologie;18023150;Q4;"Immunology (Q4); Infectious Diseases (Q4); Parasitology (Q4)"
Veterinary Sciences and Practices;28223608;Q4;Veterinary (miscellaneous) (Q4)
Zbornik Instituta za Pedagoska Istrazivanja;05796431;Q4;Education (Q4)
Zpravy Lesnickeho Vyzkumu;18059872, 03229688;Q4;"Forestry (Q4); Nature and Landscape Conservation (Q4)"
Activitas Nervosa Superior Rediviva;1337933X, 13384015;Q4;"Neuropsychology and Physiological Psychology (Q4); Psychiatry and Mental Health (Q4)"
An-Najah University Journal for Research - B (Humanities);23118962, 17278449;Q4;Social Sciences (miscellaneous) (Q4)
Annals of Economics and Finance;15297373;Q4;"Economics and Econometrics (Q4); Finance (Q4)"
Australian Literary Studies;00049697;Q2;Literature and Literary Theory (Q2)
Azafea;02133563, 24447072;Q3;Philosophy (Q3)
Carthaginensia;02134381, 26053012;Q2;Religious Studies (Q2)
Chemistry and Industry of Forest Products;02532417;Q4;"Fluid Flow and Transfer Processes (Q4); Forestry (Q4)"
Chinese Journal of Applied Clinical Pediatrics;2095428X;Q4;Pediatrics, Perinatology and Child Health (Q4)
Cinta de Moebio;0717554X;Q3;"Philosophy (Q3); Social Sciences (miscellaneous) (Q4)"
Clinical Psychology Forum;17475732;Q4;Clinical Psychology (Q4)
Contemporary Literature;00107484, 15489949;Q2;Literature and Literary Theory (Q2)
Coronaviruses;26667975, 26667967;Q4;"Immunology and Microbiology (miscellaneous)  (Q4); Infectious Diseases (Q4); Pulmonary and Respiratory Medicine (Q4); Virology (Q4)"
Croatian Yearbook of European Law and Policy;18455662, 18489958;Q3;Law (Q3)
Economic and Social Review;00129984;Q4;"Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
Environmental Resources Research;27834832, 27834670;Q4;"Environmental Engineering (Q4); Environmental Science (miscellaneous) (Q4); Nature and Landscape Conservation (Q4); Waste Management and Disposal (Q4)"
Epilepsy and Seizure;18825567;Q4;Neurology (clinical) (Q4)
European Modeling and Simulation Symposium, EMSS;23052023;-;Modeling and Simulation
Farmaceuticos Comunitarios;18858619, 21739218;Q3;"Pharmacology (nursing) (Q3); Pharmacy (Q3); Pharmaceutical Science (Q4); Pharmacology (Q4)"
Farmatsiya i Farmakologiya;23079266, 24132241;Q3;"Pharmacology (nursing) (Q3); Pharmacy (Q3); Pharmaceutical Science (Q4); Pharmacology (Q4); Pharmacology (medical) (Q4)"
Fiziolohichnyi zhurnal (Kiev, Ukraine : 1994);25229036, 25229028;Q4;"Physiology (Q4); Physiology (medical) (Q4)"
Fyodorov Journal of Ophthalmic Surgery;02354160, 23124970;Q4;Ophthalmology (Q4)
Gao Xiao Hua Xue Gong Cheng Xue Bao/Journal of Chemical Engineering of Chinese Universities;10039015;Q4;Chemical Engineering (miscellaneous) (Q4)
Heythrop Journal - Quarterly Review of Philosophy and Theology;00181196;Q2;"Religious Studies (Q2); Philosophy (Q3); Neurology (Q4); Radiological and Ultrasound Technology (Q4); Radiology, Nuclear Medicine and Imaging (Q4); Waste Management and Disposal (Q4); Water Science and Technology (Q4)"
Histoire et Mesure;09821783, 19577745;Q2;History (Q2)
Hoehnea;00732877, 22368906;Q4;"Agricultural and Biological Sciences (miscellaneous) (Q4); Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Forestry (Q4)"
Humans and Nature;09181725;Q4;Environmental Science (miscellaneous) (Q4)
IEEE Student Conference on Electric Machines and Systems (SCEMS);27717577;-;"Control and Systems Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering; Mechanical Engineering"
International Conference on Model-Driven Engineering and Software Development;21844348;-;"Engineering (miscellaneous); Software"
International Journal of American Linguistics;00207071;Q3;Linguistics and Language (Q3)
International Journal of Architectonic, Spatial, and Environmental Design;23251662, 23251670;Q2;"Visual Arts and Performing Arts (Q2); Architecture (Q3); Urban Studies (Q4)"
International Journal of Law and Society;28279050, 28279042;Q3;"Arts and Humanities (miscellaneous) (Q3); Political Science and International Relations (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)"
International Journal of Pharmaceutical Sciences and Nanotechnology;09743278;Q3;"Pharmacy (Q3); Clinical Biochemistry (Q4); Pharmacology (medical) (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)"
International Journal of Social Quality (United States);17570352, 17570344;Q4;"Geography, Planning and Development (Q4); Health (social science) (Q4); Sociology and Political Science (Q4)"
International Journal of Systematic Innovation;20778767, 20777973;Q4;"Artificial Intelligence (Q4); Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4); Industrial and Manufacturing Engineering (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Mechanical Engineering (Q4); Multidisciplinary (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)"
International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM;13142704;-;"Geology; Geotechnical Engineering and Engineering Geology"
Iranian Journal of Animal Biosystematics;24234222, 1735434X;Q4;"Animal Science and Zoology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Insect Science (Q4)"
Iranian Journal of Diabetes and Metabolism;23454008, 23454016;Q4;"Biochemistry (medical) (Q4); Endocrinology, Diabetes and Metabolism (Q4); Epidemiology (Q4); Internal Medicine (Q4)"
Israa University Journal of Applied Science;25230522;Q4;Multidisciplinary (Q4)
Journal for the Study of Radicalism;19301197, 19301189;Q2;"History (Q2); Sociology and Political Science (Q4)"
Journal for the Study of the Pseudepigrapha;17455286, 09518207;Q2;Religious Studies (Q2)
Journal of Applied Horticulture;09721045;Q4;"Biotechnology (Q4); Horticulture (Q4); Plant Science (Q4)"
Journal of Applied Linguistics and Professional Practice;20403666, 20403658;Q3;"Linguistics and Language (Q3); Education (Q4)"
Journal of Cellular Neuroscience and Oxidative Stress;21497222;Q4;"Biochemistry (Q4); Biophysics (Q4); Cell Biology (Q4); Cellular and Molecular Neuroscience (Q4); Molecular Biology (Q4)"
Journal of Church and State;0021969X;Q2;"History (Q2); Religious Studies (Q2); Sociology and Political Science (Q4)"
Journal of Environmental and Occupational Medicine;20959982;Q4;Public Health, Environmental and Occupational Health (Q4)
Journal of Veterinary Research;20082525, 22516190;Q4;Veterinary (miscellaneous) (Q4)
Jurnal Biometrika dan Kependudukan;25408828, 2302707X;Q4;"Demography (Q4); Health Informatics (Q4); Reproductive Medicine (Q4); Statistics and Probability (Q4)"
Jurnal Infektologii;24999865, 20726732;Q4;Infectious Diseases (Q4)
Kemas;23553596, 18581196;Q4;"Health Policy (Q4); Public Health, Environmental and Occupational Health (Q4)"
Korean Journal of Materials Research;12250562;Q4;Materials Science (miscellaneous) (Q4)
Laser Therapy;18847269, 08985901;Q4;"Biomedical Engineering (Q4); Surgery (Q4)"
Mathematics and Computational Sciences;27172708;Q4;"Applied Mathematics (Q4); Computational Mathematics (Q4); Numerical Analysis (Q4); Theoretical Computer Science (Q4)"
Mindanao Journal of Science and Technology;24493686, 22440410;Q4;Multidisciplinary (Q4)
Neonatology;23082402, 26587424;Q3;"Family Practice (Q3); Education (Q4); Medicine (miscellaneous) (Q4); Pediatrics, Perinatology and Child Health (Q4)"
Osterreichische Zeitschrift fur Soziologie;10110070;Q4;Social Sciences (miscellaneous) (Q4)
Pacific Rim Property Research Journal;14445921, 22016716;Q4;Economics, Econometrics and Finance (miscellaneous) (Q4)
Perspektivy Nauki i Obrazovania;23072334;Q3;"Philosophy (Q3); Developmental and Educational Psychology (Q4); Education (Q4)"
Philologia Classica;02022532, 26186969;Q2;"Classics (Q2); Linguistics and Language (Q3)"
Proceedings of World Multi-Conference on Systemics, Cybernetics and Informatics, WMSCI;27710947;-;"Artificial Intelligence; Computer Networks and Communications; Information Systems"
Revista 180;07182309;Q2;"Visual Arts and Performing Arts (Q2); Architecture (Q3); Urban Studies (Q4)"
Revista Ciencias de la Salud;21454507, 16927273;Q4;"Health Policy (Q4); Health (social science) (Q4); Medicine (miscellaneous) (Q4)"
Revista Cientifica de Sistemas e Informatica;2709992X;Q4;"Computer Science Applications (Q4); Computer Science (miscellaneous) (Q4); Hardware and Architecture (Q4); Information Systems (Q4)"
Revista de Economia Mundial;15760162;Q2;"History (Q2); Economics and Econometrics (Q4); Geography, Planning and Development (Q4); Political Science and International Relations (Q4); Social Sciences (miscellaneous) (Q4); Transportation (Q4)"
Revista de Estudios Internacionales Mediterraneos;18874460;Q4;Social Sciences (miscellaneous) (Q4)
Revista de Estudos Empiricos em Direito;23190817;Q3;Law (Q3)
Revista Latinoamericana de Quimica;03705943;Q4;Chemistry (miscellaneous) (Q4)
Rossijskij Psihiatriceskij Zurnal;1560957X;Q4;"Applied Psychology (Q4); Public Health, Environmental and Occupational Health (Q4)"
Sanat Tarihi Yilligi;27176940, 05794080;Q2;"History (Q2); Visual Arts and Performing Arts (Q2); Archeology (arts and humanities) (Q3)"
Scientific Journal of King Faisal University Basic and Applied Sciences;16580311;Q4;Multidisciplinary (Q4)
Shanghai Kou Qiang Yi Xue / Shanghai Journal of Stomatology;10067248;Q4;Multidisciplinary (Q4)
Shanghai Ligong Daxue Xuebao/Journal of University of Shanghai for Science and Technology;10076735;Q4;Engineering (miscellaneous) (Q4)
Sistemi Intelligenti;11209550, 19738226;Q3;"Linguistics and Language (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
Slavonic and East European Review;00376795;Q2;"History (Q2); Literature and Literary Theory (Q2); Cultural Studies (Q3); Linguistics and Language (Q3); Sociology and Political Science (Q4)"
Socijalna Psihijatrija;03037908;Q4;Psychiatry and Mental Health (Q4)
Soil and Environment;20751141, 20749546;Q4;"Environmental Science (miscellaneous) (Q4); Soil Science (Q4)"
Sports Medicine: Research and Practice;25879014, 22232524;Q4;"Biochemistry (medical) (Q4); Orthopedics and Sports Medicine (Q4); Rehabilitation (Q4)"
Studia Anglica Posnaniensia;00816272;Q2;"Literature and Literary Theory (Q2); Linguistics and Language (Q3)"
Techniques in Foot and Ankle Surgery;15360644, 15381943;Q4;"Orthopedics and Sports Medicine (Q4); Surgery (Q4)"
Transplantologiya. The Russian Journal of Transplantation;25420909, 20740506;Q4;"Immunology (Q4); Immunology and Allergy (Q4); Surgery (Q4); Transplantation (Q4)"
Ugeskrift for Laeger;16036824, 00415782;Q4;Medicine (miscellaneous) (Q4)
Vojnosanitetski Pregled;24060720, 00428450;Q4;"Medicine (miscellaneous) (Q4); Pharmacology (medical) (Q4)"
Zanco Journal of Pure and Applied Sciences;24123986, 22180230;Q4;"Agricultural and Biological Sciences (miscellaneous) (Q4); Engineering (miscellaneous) (Q4)"
Acta Marisiensis - Seria Medica;26687763, 26687755;Q4;"Dentistry (miscellaneous) (Q4); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q4)"
Advances in Family Practice Nursing;2589420X, 25894722;Q4;Advanced and Specialized Nursing (Q4)
Akustika;25708775, 18019064;Q4;Acoustics and Ultrasonics (Q4)
AME Surgical Journal;2788578X;Q4;Surgery (Q4)
Anestezi Dergisi;13000578;Q4;Anesthesiology and Pain Medicine (Q4)
Black Theology;17431670, 14769948;Q2;Religious Studies (Q2)
Breast Cancer Management;17581931, 17581923;Q4;"Oncology (Q4); Radiology, Nuclear Medicine and Imaging (Q4)"
Buddhist Studies Review;17479681, 02652897;Q2;Religious Studies (Q2)
Bulletin of the Taras Shevchenko National University of Kyiv. Physics and Mathematics;22182055, 18125409;Q4;"Algebra and Number Theory (Q4); Mathematics (miscellaneous) (Q4); Statistics and Probability (Q4)"
Chemical Industry and Engineering;10049533;Q4;"Catalysis (Q4); Chemical Engineering (miscellaneous) (Q4); Fluid Flow and Transfer Processes (Q4); Process Chemistry and Technology (Q4)"
Civil Szemle;30042119, 17863341;Q4;"Political Science and International Relations (Q4); Public Administration (Q4); Sociology and Political Science (Q4)"
Commagene Journal of Biology;2602456X;Q4;"Biochemistry (Q4); Ecology (Q4); Microbiology (Q4); Molecular Biology (Q4); Physiology (Q4)"
Control and Cybernetics;03248569;Q4;"Applied Mathematics (Q4); Control and Systems Engineering (Q4); Modeling and Simulation (Q4)"
Convivium (Czech Republic);23363452, 2336808X;Q2;"Classics (Q2); History (Q2); Visual Arts and Performing Arts (Q2)"
Current Psychiatry;15378276;Q4;Psychiatry and Mental Health (Q4)
Dermatologia Argentina;16691636, 15158411;Q3;"Health Professions (miscellaneous) (Q3); Dermatology (Q4)"
Enquiry;23299339;Q2;"History (Q2); Visual Arts and Performing Arts (Q2); Architecture (Q3)"
Euroheat and Power (English Edition);16130200;Q4;Energy Engineering and Power Technology (Q4)
European Review of History/Revue Europeenne d'Histoire;13507486, 14698293;Q2;History (Q2)
Frascati Physics Series;11225157;-;Nuclear and High Energy Physics
Genetic Engineering and Biotechnology News;1935472X;Q4;"Bioengineering (Q4); Biomedical Engineering (Q4); Biotechnology (Q4); Management of Technology and Innovation (Q4)"
Global Chinese;21994382, 21994374;Q3;Linguistics and Language (Q3)
Hermeneutics of Old Russian Literature;27132226, 16076192;Q2;"Literature and Literary Theory (Q2); Linguistics and Language (Q3)"
Histria Archaeologica;03506320, 1848932X;Q2;"History (Q2); Archeology (Q3); Archeology (arts and humanities) (Q3)"
Homme et la Societe;00184306, 21010226;Q4;Social Sciences (miscellaneous) (Q4)
Ideology and Politics Journal;22276068;Q4;Sociology and Political Science (Q4)
Indian Journal of Microbiology Research;2394546X, 23945478;Q4;"Medical Terminology; Immunology and Microbiology (miscellaneous)  (Q4); Microbiology (Q4)"
Indian Journal of Radio and Space Physics;0975105X, 03678393;Q4;"Earth and Planetary Sciences (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
Indonesian Journal of Obstetrics and Gynecology;23387335, 23386401;Q4;"Obstetrics and Gynecology (Q4); Oncology (Q4); Pathology and Forensic Medicine (Q4); Urology (Q4)"
International Journal for Research in Learning Disabilities;2325565X, 23293764;Q4;"Education (Q4); Medicine (miscellaneous) (Q4); Neuroscience (miscellaneous) (Q4); Psychology (miscellaneous) (Q4)"
International Journal on Algae;15219429;Q4;"Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
Italian Law Journal;24212156;Q3;"Cultural Studies (Q3); Law (Q3)"
Journal of Agriculture Faculty of Ege University;10188851, 25481207;Q4;"Agricultural and Biological Sciences (miscellaneous) (Q4); Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Plant Science (Q4)"
Journal of Chinese History;20591640, 20591632;Q2;"History (Q2); Cultural Studies (Q3)"
Journal of Economic Cooperation and Development;13087800;Q4;"Business and International Management (Q4); Economics and Econometrics (Q4); Political Science and International Relations (Q4)"
Journal of Geomatics;20956045;Q4;"Computer Science (miscellaneous) (Q4); Earth-Surface Processes (Q4)"
Journal of Molecular Catalysis;10013555;Q4;Catalysis (Q4)
Journal of Veterinary Clinics;1598298X, 23840749;Q4;Veterinary (miscellaneous) (Q4)
